id,title,original_collection,approximate_year,place,region,scene_type,themes,summary,editorial_note,proposed_section,source_reference,copyright_status_note,confidence,inclusion
E-011,秦淮拾梦记,金陵五记,1979,南京·秦淮,金陵,江河,故都余韵；江南文化；历史兴亡；掌故,1979年重游秦淮的追梦之作，缀合明清秦淮风月、桃花扇旧事与个人记忆。网络有节选流传，使用须核全文出处。,金陵书写名篇，'必收'候选，第三辑代表作之一。,3,《金陵五记》目录（编年1979）；网络流传节选（出处待核）。,在版权保护期内；网络节选不足为据，引用限短句并注原书页。,待核,必收
E-012,重过鸡鸣寺,金陵五记,1979,南京·鸡鸣寺,金陵,寺观,古迹；故都余韵；历史兴亡,1979年重访鸡鸣寺，与1946年《鸡鸣寺》形成同地重写的时间纵深。内容待核。,与E-003并置编排，凸显'同地重访'结构。,3,《金陵五记》目录（编年1979）。,在版权保护期内；仅索引与摘要。,待核,必收
E-013,南唐二陵,金陵五记,1979,南京·南唐二陵,金陵,古迹,古迹；历史兴亡；掌故,1979年访南唐二陵（南唐先主、中主陵）的怀古之作。内容待核。,双栖第三辑与第六辑；建议入第三辑保金陵完整。,3,《金陵五记》目录（编年1979）。,在版权保护期内；仅索引与摘要。,待核,可选
E-014,宝鸡——广元,锦帆集,约1944—1946,宝鸡（陕）—广元（川），蜀道,蜀中,旅馆/旅途,战时经验；城市记忆；历史兴亡,记由陕入川、宝鸡至广元一线的蜀道行程，是第一辑'蜀道'主题的标志性篇目。具体内容待核。,第一辑'蜀道与战时中国'核心篇，直接呼应辑名。'必收'候选。,1,《锦帆集》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,必收
E-015,成都散记,锦帆集,约1944—1946,成都,蜀中,城市,城市记忆；战时经验；掌故；江南文化,战时成都的城市散记，记后方都市的市井、风物与文化氛围。内容待核。,第一辑骨干；与《宝鸡——广元》构成'入蜀—居蜀'的地理链条。,1,《锦帆集》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,必收
E-016,过徐州,锦帆集,约1944—1946,徐州,江北,旅途/城市,战时经验；城市记忆；历史兴亡,途经徐州的纪行，属战时辗转行旅中的一站。内容与确切时间待核。,第一辑；旅途串场篇，可与蜀道、成都诸篇共同勾勒战时行程线。,1,《锦帆集》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,可选
E-017,江上杂记,锦帆集,约1944—1946,长江（舟行，具体江段待核）,江南,江河,城市记忆；战时经验；江南文化,舟行江上的杂记，记水路见闻。确切江段（川江或下江）待核，归辑亦随之调整。,第一辑或第四辑候选；待核定江段后归辑。江河场景的代表篇。,1,《锦帆集》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,可选
E-018,昆明杂记,锦帆集（待核，亦见《黄裳自选集》）,约1944—1946,昆明,西南,城市,战时经验；城市记忆；掌故,抗战后期作者任美军译员期间在昆明的见闻杂记。原书归属与确切年份待核。,第一辑骨干；呈现青年黄裳作为战时见证者的一面。,1,网络检索（《黄裳自选集》第一辑提及；疑出《锦帆集》/《锦帆集外》）。,在版权保护期内；仅索引与摘要。,待核,必收
E-019,森林·雨季·山头人,锦帆集（待核）,约1944—1946,西南/滇缅印一带（待核）,西南／海外,战时现场,战时经验；城市记忆,战时行役中关于森林、雨季与边地人群的记述，地理指向待核（可能涉滇缅印战区）。具民族志色彩。,第一辑或第二辑候选；待核定地点后归辑。,1,网络检索（《黄裳自选集》第一辑提及）。,在版权保护期内；仅索引与摘要。,待核,可选
E-020,叙言,关于美国兵,约1947,—,—,序跋,战时经验；自述,《关于美国兵》全书序言，交代写作缘起与立场。导读价值高。,第二辑导读可引其短句；正文是否收附录视体例定。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；引用限短句并注出处。,待核,资料库
E-021,他们怎样看中国,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；异国军队；城市记忆,据篇题，写美军士兵眼中的中国，是中外视角对照的观察。具体内容待核。,第二辑；'外人看中国'的角度，宜与《种种惊异》并读。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,必收
E-022,“中国通”,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；异国军队；人物,据篇题，写自诩'中国通'的外国人，含讽刺与观察。内容待核。,第二辑；人物速写性强，可作辑内调剂。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,资料库
E-023,人种·职业·人性的大集合,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；异国军队,据篇题，写美军中各色人种、职业与人性的混杂景观。内容待核。,第二辑；群像式观察，呈现战时军营社会切面。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,可选
E-024,几个人物,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；人物；异国军队,据篇题，记战时接触的几位（美军或相关）人物。内容待核。,第二辑；与第八辑'人物途中'呼应，可在第八辑导读互见。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,可选
E-025,中国将军怎样应付美国兵,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；异国军队；历史兴亡,据篇题，写中方军官与美军相处的现场政治与人情。内容待核。,第二辑；中外军队接触的关系层面，史料感强。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,必收
E-026,美国兵与女人,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；异国军队；城市记忆,写美军与中国社会接触中关于女性的一面，是战时社会风气的敏感切片。内容待核。,第二辑核心候选；重点在现场记录而非猎奇。'必收'候选。,2,《关于美国兵》目录（网络检索；亦见《黄裳自选集》）。,在版权保护期内；仅索引与摘要。,待核,必收
E-027,“伟大”的S.O.S.,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；异国军队,据篇题（S.O.S.疑指美军后勤勤务部门 Services of Supply），带反讽地写其运作。内容待核。,第二辑；注释须考订'S.O.S.'所指的美军建制。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,资料库
E-028,前线景象,关于美国兵,约1944—1947,前线（待核，疑滇西/缅北）,西南／海外,战时现场,战时经验；历史兴亡,据篇题，记前线见闻。具体战区待核（疑滇西或缅北反攻一线）。,第二辑；若证实涉缅印战区，可与第一辑《森林·雨季·山头人》互见。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,可选
E-029,咖啡与战斗力,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；异国军队,据篇题，借美军物资（咖啡）写其后勤与作风。内容待核。,第二辑；物质细节切入战争，角度别致。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,资料库
E-030,种种惊异,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；异国军队；城市记忆,据篇题，记中外接触中的种种文化惊异。内容待核。,第二辑；文化错位的观察，宜与《他们怎样看中国》对读。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,可选
E-031,军中文化,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；异国军队；书话,据篇题，写美军中的读物、娱乐等文化生活（综述提及其'精神食粮丰盛'）。内容待核。,第二辑；'军中文化'与黄裳书话兴趣相通，可在第七辑导读互见。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,资料库
E-032,汽车团,关于美国兵,约1944—1947,西南后方（待核，疑滇缅公路沿线）,西南,战时现场,战时经验；异国军队,据篇题，写运输部队（汽车团）的战时生态。具体地点待核（疑滇缅公路）。,第二辑；运输线是战时后方命脉，史料价值可观。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,资料库
E-033,为美国兵活着的人们,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；城市记忆；历史兴亡,据篇题，写依附美军经济为生的中国底层人群，含社会批判。内容待核。,第二辑；社会观察深度强，'必收'候选。,2,《关于美国兵》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,必收
E-034,关于“翻译官”,关于美国兵,约1944—1947,西南后方（待核）,西南,战时现场,战时经验；异国军队；自述；人物,据篇题并结合作者本人即任美军译员的经历，写'翻译官'这一战时特殊角色。具自述色彩。内容待核。,第二辑收束篇候选；作者夫子自道，最贴近其战时身份。'必收'候选。,2,《关于美国兵》目录（网络检索）；与作者译员经历互证。,在版权保护期内；仅索引与摘要。,待核,必收
E-035,采石·当涂·青山,锦帆集（待核）,待核,采石矶、当涂、青山（皖南／长江沿线）,江南,古迹,古迹；历史兴亡；人物；江南文化,沿长江访采石矶、当涂、青山（李白墓所在）一线的怀古纪游，山水与人物（李白）史迹交织。原书归属与年份待核。,第四辑'江南行旅'候选；典型'山水—史迹—人物'三合一写法。,4,网络检索（《黄裳自选集》/综述提及）。,在版权保护期内；仅索引与摘要。,待核,可选
E-036,茶馆,锦帆集（待核）,约1944—1946,西南（成渝一带，待核）,蜀中／西南,城市,城市记忆；战时经验；掌故,写西南后方茶馆生态的世情速写，地点（成都或重庆）待核。,第一辑候选；茶馆是战时后方社会的横切面，有风俗志价值。,1,网络检索（《黄裳自选集》第一辑提及）。,在版权保护期内；仅索引与摘要。,待核,可选
E-037,西泠访书记,榆下说书（后并入《黄裳集·创作卷Ⅴ》）,待核,杭州·西泠（西湖孤山一带）,江南,书肆,书话；城市记忆；江南文化；掌故,记在杭州西泠一带访书的经历，是'访书即旅行'的典型文本，书事与湖山地理交织。内容待核。,第七辑'书肆、旧书与纸上行旅'核心篇；最能体现'读书即旅行'。'必收'候选。可与第四辑江南互见。,7,《榆下说书》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,必收
E-038,琉璃厂,待核（见《黄裳自选集》第四辑；疑出书话诸集）,待核,北京·琉璃厂,北平,书肆,书话；故都余韵；城市记忆；掌故,写北京琉璃厂书肆古玩街的访书见闻与文化记忆，是打通'行旅'与'书旅'的关键篇。原书归属待核。,第五辑'北平与旧都余韵'核心篇；'必收'候选。与第七辑互见。,5,网络检索（《黄裳自选集》第四辑收《琉璃厂》）。,在版权保护期内；仅索引与摘要。,待核,必收
E-039,海滨消夏记,银鱼集（后并入《黄裳集·创作卷Ⅴ》）,待核,海滨（具体地待核，疑青岛/北戴河一带）,待核,旅馆/城市,城市记忆；江南文化,海滨避暑的行旅记，属较少见的休闲行旅题材。地点与年份待核。,第四辑或第六辑候选；待核定地点后归辑，可丰富'行旅'题材的多样性。,4,《银鱼集》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,可选
E-040,余淡心与金陵,银鱼集（后并入《黄裳集·创作卷Ⅴ》）,待核,南京（秦淮）,金陵,古迹,人物；掌故；历史兴亡；书话；江南文化,写明末清初文人余怀（淡心，《板桥杂记》作者）与南京秦淮的因缘，是借人物钩沉金陵文史的文字。内容待核。,双栖第八辑（人物）与第三辑（金陵）；建议入第八辑，第三辑导读互见。体现'以人写地'。,8,《银鱼集》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,必收
E-041,绝代的散文家——张宗子,银鱼集（后并入《黄裳集·创作卷Ⅴ》）,待核,—（涉绍兴/杭州等张岱行迹）,江南,—（论人）,人物；书话；历史兴亡；江南文化,评晚明散文家张岱（宗子），兼及其山水小品与故国之思，与黄裳自身的趣味遥相呼应。属论人之作，行旅成分弱。,第八辑候选，但属文学评论而非行旅；列'可选'，若取则须与游记篇搭配，避免冲淡全书行旅主线。,8,《银鱼集》目录（网络检索）。,在版权保护期内；仅索引与摘要。,待核,可选
E-043,杭州杂记,花步集（待核）,待核,杭州,江南,城市,城市记忆；江南文化；掌故,写杭州（西湖一带）的城市游记。出现于网络检索的黄裳作品列表，归入《花步集》系推测；篇名、原书与年份均待核。,第四辑'江南行旅'候选，可补杭州一站。须以原书坐实是否确有此篇及归属。,4,网络检索的作品列表（非逐字目录，可靠性较低）。,在版权保护期内；仅索引与摘要。,推测,可选
